         525236 function calls (513044 primitive calls) in 6.050 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000    0.000    0.000 __init__.py:507(_parse_local_version)
        1    0.000    0.000    0.000    0.000 __init__.py:508(Formatter)
        3    0.000    0.000    0.000    0.000 __init__.py:509(PYFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:51(PackageNotFoundError)
     12/9    0.000    0.000    0.136    0.015 __init__.py:51(create_module)
        3    0.000    0.000    0.000    0.000 __init__.py:510(CFunctionType)
        3    0.000    0.000    0.000    0.000 __init__.py:517(cast)
       10    0.000    0.000    0.000    0.000 __init__.py:519(_cmpkey)
        1    0.000    0.000    0.000    0.000 __init__.py:521(IResourceProvider)
       80    0.000    0.000    0.000    0.000 __init__.py:526(_nonblank)
        1    0.000    0.000    0.000    0.000 __init__.py:53(ParserError)
       10    0.000    0.000    0.000    0.000 __init__.py:534(<lambda>)
       12    0.000    0.000    0.000    0.000 __init__.py:54(exec_module)
        1    0.000    0.000    0.000    0.000 __init__.py:549(WorkingSet)
       28    0.000    0.000    0.001    0.000 __init__.py:549(_)
        1    0.000    0.000    0.346    0.346 __init__.py:552(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:553(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:554(drop_comment)
        1    0.000    0.000    0.346    0.346 __init__.py:565(_build_master)
        2    0.000    0.000    0.000    0.000 __init__.py:569(join_continuation)
       22    0.000    0.000    0.000    0.000 __init__.py:57(find_spec)
        1    0.000    0.000    0.000    0.000 __init__.py:58(NegativeInfinityType)
       14    0.000    0.000    0.368    0.026 __init__.py:607(add_entry)
        1    0.000    0.000    0.000    0.000 __init__.py:626(find)
