iso3,hazard,climate_scenario,model,year,return_period,percentile,min_depth,mean_depth,max_depth,flooded_area_km2,continent
AUT,inuncoast,rcp4p5,wtsub,2030,rp1000,0,-,NA,-,NA,Europe
AUT,inuncoast,rcp4p5,wtsub,2050,rp0100,0,-,NA,-,NA,Europe
AUT,inuncoast,rcp4p5,wtsub,2050,rp0250,0,-,NA,-,NA,Europe
AUT,inuncoast,rcp4p5,wtsub,2050,rp0500,0,-,NA,-,NA,Europe
AUT,inuncoast,rcp4p5,wtsub,2050,rp1000,0,-,NA,-,NA,Europe
AUT,inuncoast,rcp4p5,wtsub,2080,rp0100,0,-,NA,-,NA,Europe
AUT,inuncoast,rcp4p5,wtsub,2080,rp0250,0,-,NA,-,NA,Europe
AUT,inuncoast,rcp4p5,wtsub,2080,rp0500,0,-,NA,-,NA,Europe
AUT,inuncoast,rcp4p5,wtsub,2080,rp1000,0,-,NA,-,NA,Europe
AUT,inuncoast,rcp8p5,wtsub,2030,rp0100,0,-,NA,-,NA,Europe
AUT,inuncoast,rcp8p5,wtsub,2030,rp0250,0,-,NA,-,NA,Europe
AUT,inuncoast,rcp8p5,wtsub,2030,rp0500,0,-,NA,-,NA,Europe
AUT,inuncoast,rcp8p5,wtsub,2030,rp1000,0,-,NA,-,NA,Europe
AUT,inuncoast,rcp8p5,wtsub,2050,rp0100,0,-,NA,-,NA,Europe
AUT,inuncoast,rcp8p5,wtsub,2050,rp0250,0,-,NA,-,NA,Europe
AUT,inuncoast,rcp8p5,wtsub,2050,rp0500,0,-,NA,-,NA,Europe
AUT,inuncoast,rcp8p5,wtsub,2050,rp1000,0,-,NA,-,NA,Europe
AUT,inuncoast,rcp8p5,wtsub,2080,rp0100,0,-,NA,-,NA,Europe
AUT,inuncoast,rcp8p5,wtsub,2080,rp0250,0,-,NA,-,NA,Europe
AUT,inuncoast,rcp8p5,wtsub,2080,rp0500,0,-,NA,-,NA,Europe
AUT,inuncoast,rcp8p5,wtsub,2080,rp1000,0,-,NA,-,NA,Europe
AZE,inuncoast,historical,wtsub,hist,rp0100,0,-,NA,-,NA,Asia
AZE,inuncoast,historical,wtsub,hist,rp0250,0,-,NA,-,NA,Asia
AZE,inuncoast,historical,wtsub,hist,rp0500,0,-,NA,-,NA,Asia
AZE,inuncoast,historical,wtsub,hist,rp1000,0,-,NA,-,NA,Asia
AZE,inuncoast,rcp4p5,wtsub,2030,rp0100,0,-,NA,-,NA,Asia
AZE,inuncoast,rcp4p5,wtsub,2030,rp0250,0,-,NA,-,NA,Asia
AZE,inuncoast,rcp4p5,wtsub,2030,rp0500,0,-,NA,-,NA,Asia
AZE,inuncoast,rcp4p5,wtsub,2030,rp1000,0,-,NA,-,NA,Asia
AZE,inuncoast,rcp4p5,wtsub,2050,rp0100,0,-,NA,-,NA,Asia
AZE,inuncoast,rcp4p5,wtsub,2050,rp0250,0,-,NA,-,NA,Asia
AZE,inuncoast,rcp4p5,wtsub,2050,rp0500,0,-,NA,-,NA,Asia
AZE,inuncoast,rcp4p5,wtsub,2050,rp1000,0,-,NA,-,NA,Asia
AZE,inuncoast,rcp4p5,wtsub,2080,rp0100,0,-,NA,-,NA,Asia
AZE,inuncoast,rcp4p5,wtsub,2080,rp0250,0,-,NA,-,NA,Asia
AZE,inuncoast,rcp4p5,wtsub,2080,rp0500,0,-,NA,-,NA,Asia
AZE,inuncoast,rcp4p5,wtsub,2080,rp1000,0,-,NA,-,NA,Asia
AZE,inuncoast,rcp8p5,wtsub,2030,rp0100,0,-,NA,-,NA,Asia
AZE,inuncoast,rcp8p5,wtsub,2030,rp0250,0,-,NA,-,NA,Asia
AZE,inuncoast,rcp8p5,wtsub,2030,rp0500,0,-,NA,-,NA,Asia
AZE,inuncoast,rcp8p5,wtsub,2030,rp1000,0,-,NA,-,NA,Asia
AZE,inuncoast,rcp8p5,wtsub,2050,rp0100,0,-,NA,-,NA,Asia
AZE,inuncoast,rcp8p5,wtsub,2050,rp0250,0,-,NA,-,NA,Asia
AZE,inuncoast,rcp8p5,wtsub,2050,rp0500,0,-,NA,-,NA,Asia
AZE,inuncoast,rcp8p5,wtsub,2050,rp1000,0,-,NA,-,NA,Asia
AZE,inuncoast,rcp8p5,wtsub,2080,rp0100,0,-,NA,-,NA,Asia
AZE,inuncoast,rcp8p5,wtsub,2080,rp0250,0,-,NA,-,NA,Asia
AZE,inuncoast,rcp8p5,wtsub,2080,rp0500,0,-,NA,-,NA,Asia
AZE,inuncoast,rcp8p5,wtsub,2080,rp1000,0,-,NA,-,NA,Asia
BDI,inuncoast,historical,wtsub,hist,rp0100,0,-,NA,-,NA,Africa
BDI,inuncoast,historical,wtsub,hist,rp0250,0,-,NA,-,NA,Africa
BDI,inuncoast,historical,wtsub,hist,rp0500,0,-,NA,-,NA,Africa
BDI,inuncoast,historical,wtsub,hist,rp1000,0,-,NA,-,NA,Africa
BDI,inuncoast,rcp4p5,wtsub,2030,rp0100,0,-,NA,-,NA,Africa
BDI,inuncoast,rcp4p5,wtsub,2030,rp0250,0,-,NA,-,NA,Africa
BDI,inuncoast,rcp4p5,wtsub,2030,rp0500,0,-,NA,-,NA,Africa
BDI,inuncoast,rcp4p5,wtsub,2030,rp1000,0,-,NA,-,NA,Africa
BDI,inuncoast,rcp4p5,wtsub,2050,rp0100,0,-,NA,-,NA,Africa
BDI,inuncoast,rcp4p5,wtsub,2050,rp0250,0,-,NA,-,NA,Africa
BDI,inuncoast,rcp4p5,wtsub,2050,rp0500,0,-,NA,-,NA,Africa
